Compteur,Total sur 2021,Coordonnées,Date d'installation
100003096,265234,"48.83511,2.33338",22/02/2012
100003097,672726,"48.87773,2.3506",13/02/2012
100003098,441917,"48.83521,2.33307",22/02/2012
100003099,346979,"48.87813,2.3497",22/02/2012
100006300,480025,"48.843435,2.383378",19/01/2013
100007049,218850,"48.84604,2.37561",18/01/2013
100036718,880645,"48.83436,2.377",12/07/2017
100036719,472626,"48.85372,2.35702",12/07/2017
100041488,318644,"48.846099,2.375456",17/01/2013
100042374,742706,"48.8484,2.27586",15/12/2017
100044493,988392,"48.86149,2.37376",27/06/2018
100044494,179077,"48.874716,2.292439",27/07/2018
100044495,226049,"48.87451,2.29215",27/07/2018
100044506,1059202,"48.86155,2.37407",27/06/2018
100047533,1218776,"48.87756,2.35535",28/11/2018
100047534,55201,"48.88181,2.281546",29/11/2018
100047535,444890,"48.84015,2.26733",28/11/2018
100047536,1203731,"48.877726,2.354926",29/11/2018
100047537,946824,"48.86057,2.38886",30/11/2018
100047538,98086,"48.881626,2.281203",28/11/2018
100047539,194927,"48.830449,2.353199",05/12/2018
100047540,974723,"48.86077,2.37305",05/12/2018
100047541,4797,"48.82658,2.38409",05/12/2018
100047542,1465791,"48.89172,2.38531",29/11/2018
100047544,836277,"48.860852,2.372279",05/12/2018
100047545,488606,"48.890457,2.368852",29/11/2018
100047546,615425,"48.829523,2.38699",30/11/2018
100047547,765667,"48.82636,2.30303",28/11/2018
100047548,823059,"48.89141,2.38482",28/11/2018
100047549,544977,"48.82682,2.38465",05/12/2018
100065336,554624,"48.860528,2.388364",18/11/2020
100047551,325731,"48.83992,2.26694",01/12/2018
100049407,633266,"48.840801,2.333233",07/12/2018
100049408,268825,"48.83068,2.35348",06/12/2018
100050132,380281,"48.86179,2.32014",13/12/2018
100050876,2379576,"48.85735,2.35211",04/09/2019
100056032,552503,"48.88926,2.37472",05/11/2019
100056034,463462,"48.889046,2.374872",13/11/2019
100056036,39304,"48.86451,2.40932",14/11/2019
100056038,478436,"48.869873,2.307419",30/10/2019
100056039,322600,"48.82024,2.35902",11/12/2019
100056040,336749,"48.842091,2.301",30/10/2019
100056041,319014,"48.82026,2.3592",10/12/2019
100056042,642391,"48.869831,2.307076",30/10/2019
100056044,322644,"48.84216,2.30115",30/10/2019
100056045,530228,"48.86373,2.31973",08/11/2019
100056046,207978,"48.86282,2.31061",06/11/2019
100056047,544986,"48.86378,2.32003",08/11/2019
100056223,165324,"48.86284,2.310345",07/11/2019
100056226,353435,"48.830331,2.400551",01/11/2019
100056327,471816,"48.86461,2.40969",06/11/2019
100056329,521695,"48.84223,2.36811",12/12/2019
100056330,946871,"48.85209,2.28508",14/11/2019
100056331,117436,"48.83421,2.26542",05/11/2019
100056332,569155,"48.83848,2.37587",11/12/2019
100056334,1324157,"48.86502,2.35387",10/12/2019
100056335,1387318,"48.86288,2.31179",07/11/2019
100056336,1496320,"48.85013,2.35423",14/11/2019
100057329,1235968,"48.84201,2.36729",18/02/2020
100057380,1195058,"48.86462,2.31444",11/02/2020
100057445,3159073,"48.86377,2.35096",11/02/2020
100060174,750054,"48.851525,2.343298",20/05/2020
100060175,67628,"48.851131,2.345678",20/05/2020
100060178,632704,"48.84638,2.31529",22/07/2020
100063175,883421,"48.88529,2.32666",22/07/2020
100063174,153611,"48.89696,2.34538",22/07/2020
100063173,139172,"48.896825,2.345648",22/07/2020
300014702,1040115,"48.83977,2.30198",29/11/2020
